Sigla,Nome Completo,Tipo,URL Oficial
UFRJ,Universidade Federal do Rio de Janeiro,Universidade,https://ufrj.br
USP,Universidade de São Paulo,Universidade,https://www.usp.br
UFMG,Universidade Federal de Minas Gerais,Universidade,https://www.ufmg.br
UNB,Universidade de Brasília,Universidade,https://www.unb.br
UFC,Universidade Federal do Ceará,Universidade,https://www.ufc.br
UFPE,Universidade Federal de Pernambuco,Universidade,https://www.ufpe.br
UFRGS,Universidade Federal do Rio Grande do Sul,Universidade,https://www.ufrgs.br
UFPR,Universidade Federal do Paraná,Universidade,https://www.ufpr.br
UFSC,Universidade Federal de Santa Catarina,Universidade,https://www.ufsc.br
UFBA,Universidade Federal da Bahia,Universidade,https://www.ufba.br
UFF,Universidade Federal Fluminense,Universidade,https://www.uff.br
UFG,Universidade Federal de Goiás,Universidade,https://www.ufg.edu.br
UFPA,Universidade Federal do Pará,Universidade,https://www.ufpa.edu.br
UFRN,Universidade Federal do Rio Grande do Norte,Universidade,https://www.ufrn.br
UFES,Universidade Federal do Espírito Santo,Universidade,https://www.ufes.br
UFPB,Universidade Federal da Paraíba,Universidade,https://www.ufpb.edu.br
UFPI,Universidade Federal do Piauí,Universidade,https://www.ufpi.edu.br
UFAM,Universidade Federal do Amazonas,Universidade,https://www.ufam.edu.br
UFAL,Universidade Federal de Alagoas,Universidade,https://ufal.br
UFMA,Universidade Federal do Maranhão,Universidade,https://ufma.br
UFMT,Universidade Federal de Mato Grosso,Universidade,https://www.ufmt.br
UFS,Universidade Federal de Sergipe,Universidade,https://www.ufs.br
UFRRJ,Universidade Federal Rural do Rio de Janeiro,Universidade,https://ufrrj.br
UFSM,Universidade Federal de Santa Maria,Universidade,https://www.ufsm.edu.br
UFU,Universidade Federal de Uberlândia,Universidade,https://www.ufu.br
UEL,Universidade Estadual de Londrina,Universidade,https://www.uel.br
UFV,Universidade Federal de Viçosa,Universidade,https://www.ufv.br
UFMS,Universidade Federal de Mato Grosso do Sul,Universidade,https://www.ufms.edu.br
UNIRIO,Universidade Federal do Estado do Rio de Janeiro,Universidade,https://www.unirio.br
UNIFESP,Universidade Federal de São Paulo,Universidade,https://www.unifesp.br
UNICAMP,Universidade Estadual de Campinas,Universidade,https://www.unicamp.br
UERJ,Universidade do Estado do Rio de Janeiro,Universidade,https://www.uerj.br
UFJF,Universidade Federal de Juiz de Fora,Universidade,https://www.ufjf.edu.br
UFLA,Universidade Federal de Lavras,Universidade,https://ufla.br
UFOP,Universidade Federal de Ouro Preto,Universidade,https://www.ufop.edu.br
UFSJ,Universidade Federal de São João del-Rei,Universidade,https://www.ufsj.edu.br
UFTM,Universidade Federal do Triângulo Mineiro,Universidade,https://www.uftm.edu.br
UFABC,Universidade Federal do ABC,Universidade,https://www.ufabc.edu.br
UTFPR,Universidade Tecnológica Federal do Paraná,Universidade,https://www.utfpr.edu.br
UNIFAL-MG,Universidade Federal de Alfenas,Universidade,https://www.unifal-mg.edu.br
UFSCAR,Universidade Federal de São Carlos,Universidade,https://www.ufscar.edu.br
UEM,Universidade Estadual de Maringá,Universidade,https://www.uem.br
UEPG,Universidade Estadual de Ponta Grossa,Universidade,https://www.uepg.br
UNIOESTE,Universidade Estadual do Oeste do Paraná,Universidade,https://www.unioeste.br
UENF,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Universidade,https://www.uenf.br
UFRRJ,Universidade Federal Rural do Rio de Janeiro,Universidade,https://ufrrj.br
UFSB,Universidade Federal do Sul da Bahia,Universidade,https://www.ufsb.edu.br
UFOB,Universidade Federal do Oeste da Bahia,Universidade,https://ufob.edu.br
UFRB,Universidade Federal do Recôncavo da Bahia,Universidade,https://www.ufrb.edu.br
UNIVASF,Universidade Federal do Vale do São Francisco,Universidade,https://www.univasf.edu.br
UNIFEI,Universidade Federal de Itajubá,Universidade,https://unifei.edu.br
UNILAB,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,Universidade,https://unilab.edu.br
UNIR,Universidade Federal de Rondônia,Universidade,https://www.unir.br
UFRR,Universidade Federal de Roraima,Universidade,https://ufrr.edu.br
UNIFAP,Universidade Federal do Amapá,Universidade,https://www.unifap.br
UFAC,Universidade Federal do Acre,Universidade,https://www.ufac.edu.br
UFT,Universidade Federal do Tocantins,Universidade,https://ww2.uft.edu.br
UFCA,Universidade Federal do Cariri,Universidade,https://www.ufca.edu.br
UFAPE,Universidade Federal do Agreste de Pernambuco,Universidade,https://www.ufape.edu.br
UFRPE,Universidade Federal Rural de Pernambuco,Universidade,https://www.ufrpe.br
UFRA,Universidade Federal Rural da Amazônia,Universidade,https://www.ufra.edu.br
UNILA,Universidade Federal da Integração Latino-Americana,Universidade,https://www.unila.edu.br
UNIPAMPA,Universidade Federal do Pampa,Universidade,https://unipampa.edu.br
FURG,Universidade Federal do Rio Grande,Universidade,https://www.furg.br
UFCSPA,Universidade Federal de Ciências da Saúde de Porto Alegre,Universidade,https://www.ufcspa.edu.br
UNIFESSPA,Universidade Federal do Sul e Sudeste do Pará,Universidade,https://www.unifesspa.edu.br
UFVJM,Universidade Federal dos Vales do Jequitinhonha e Mucuri,Universidade,https://www.ufvjm.edu.br
UFGD,Universidade Federal da Grande Dourados,Universidade,https://portal.ufgd.edu.br
UFERSA,Universidade Federal Rural do Semi-Árido,Universidade,https://ufersa.edu.br
UFJ,Universidade Federal de Jataí,Universidade,https://ufj.edu.br
UFCAT,Universidade Federal de Catalão,Universidade,https://www.ufcat.edu.br
