Sigla,Nome Completo,Tipo,URL Oficial
IFBA,Instituto Federal da Bahia,Instituto,https://www.ifba.edu.br
IFB,Instituto Federal de Brasília,Instituto,https://www.ifb.edu.br
IFES,Instituto Federal do Espírito Santo,Instituto,https://www.ifes.edu.br
IFRN,Instituto Federal do Rio Grande do Norte,Instituto,https://portal.ifrn.edu.br
IFRR,Instituto Federal de Roraima,Instituto,https://ifrr.edu.br
IFMG,Instituto Federal de Minas Gerais,Instituto,https://www.ifmg.edu.br
IFSUL,Instituto Federal Sul-rio-grandense,Instituto,https://www.ifsul.edu.br
IFRJ,Instituto Federal do Rio de Janeiro,Instituto,https://www.ifrj.edu.br
IFAL,Instituto Federal de Alagoas,Instituto,https://www.ifal.edu.br
IFMA,Instituto Federal do Maranhão,Instituto,https://www.ifma.edu.br
IFPE,Instituto Federal de Pernambuco,Instituto,https://www.ifpe.edu.br
IFPI,Instituto Federal do Piauí,Instituto,https://www.ifpi.edu.br
IFRO,Instituto Federal de Rondônia,Instituto,https://www.ifro.edu.br
IFPB,Instituto Federal da Paraíba,Instituto,https://www.ifpb.edu.br
IFPA,Instituto Federal do Pará,Instituto,https://www.ifpa.edu.br
IFCE,Instituto Federal do Ceará,Instituto,https://www.ifce.edu.br
IFPR,Instituto Federal do Paraná,Instituto,https://www.ifpr.edu.br
IFSP,Instituto Federal de São Paulo,Instituto,https://www.ifsp.edu.br
IFSC,Instituto Federal de Santa Catarina,Instituto,https://www.ifsc.edu.br
IFTM,Instituto Federal do Triângulo Mineiro,Instituto,https://www.iftm.edu.br
IFNMG,Instituto Federal do Norte de Minas Gerais,Instituto,https://www.ifnmg.edu.br
IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Instituto,https://www.ifsuldeminas.edu.br
IFGoiano,Instituto Federal Goiano,Instituto,https://www.ifgoiano.edu.br
IFG,Instituto Federal de Goiás,Instituto,https://www.ifg.edu.br
IFSEMG,Instituto Federal do Sudeste de Minas Gerais,Instituto,https://www.ifsudestemg.edu.br
IFMS,Instituto Federal de Mato Grosso do Sul,Instituto,https://www.ifms.edu.br
IFAP,Instituto Federal do Amapá,Instituto,https://portal.ifap.edu.br
IFAM,Instituto Federal do Amazonas,Instituto,https://www.ifam.edu.br
IFMT,Instituto Federal de Mato Grosso,Instituto,https://www.ifmt.edu.br
IFTO,Instituto Federal do Tocantins,Instituto,https://portal.ifto.edu.br
IFAC,Instituto Federal do Acre,Instituto,https://www.ifac.edu.br
IFFar,Instituto Federal Farroupilha,Instituto,https://www.iffarroupilha.edu.br
IF Sul Rio Grandense,Instituto Federal Sul-rio-grandense,Instituto,https://www.ifsul.edu.br
IF Sertão Pernambucano,Instituto Federal do Sertão Pernambucano,Instituto,https://www.ifsertaope.edu.br
IF Sudeste MG,Instituto Federal do Sudeste de Minas Gerais,Instituto,https://www.ifsudestemg.edu.br
IF Catarinense,Instituto Federal Catarinense,Instituto,https://www.ifc.edu.br
IF Baiano,Instituto Federal Baiano,Instituto,https://www.ifbaiano.edu.br
IFS,Instituto Federal de Sergipe,Instituto,https://ifs.edu.br
IF Sul de Minas,Instituto Federal do Sul de Minas Gerais,Instituto,https://www.ifsuldeminas.edu.br
IF Piauí,Instituto Federal do Piauí,Instituto,https://www.ifpi.edu.br
